GEOID10,dni
2532,4.512
2535,4.4199999
2536,4.5360003
2537,4.58400015
2539,4.564800180000001
2542,4.5936
2543,4.548
2554,4.6239999
2557,4.632
2563,4.6080003
2564,4.67999985
2571,4.3079999
2575,4.667999999999999
2601,4.584
2631,4.480000100000001
2638,4.54800015
2642,4.5360003
2643,4.416
2645,4.43999985
2648,4.52400015
2649,4.368
2652,4.5360003
2653,4.416
2655,4.32
2660,4.5360003
2663,4.56
2666,4.56
2667,4.524
2668,4.566000075
2670,4.368
2675,4.584
2702,4.584
2703,4.584
2713,4.488
2715,4.56
2719,4.56
2720,4.655999700000001
2721,4.608
2724,4.632
2725,4.632
2738,4.5600001500000005
2739,4.428000000000001
2743,4.54800015
2745,4.59600015
2746,4.584
2747,4.59600015
2748,4.548
2760,4.616
2762,4.648
2764,4.56
2766,4.571999999999999
2767,4.512
2769,4.56
2770,4.518000075000001
2771,4.6080003
2777,4.578000075
2779,4.5360003
2780,4.56600015
2790,4.63799985
2804,4.632
2806,4.512
2807,4.584
2808,4.6080003
2809,4.5360003
2813,4.632
2814,4.632
2816,4.6080003
2817,4.58000005
2818,4.5920001
2822,4.57920006
2825,4.58880018
2826,4.584
2827,4.56
2831,4.620000149999999
2832,4.6080003
2833,4.6080003
2835,4.5360003
2836,4.632
2837,4.152
2839,4.6080003
2842,4.752
2852,4.584
2857,4.64399985
2859,4.59360012
2864,4.6080003
2865,4.632
2871,4.703999850000001
2873,4.584
2874,4.416
2878,4.67999985
2879,4.507200060000001
2882,4.6080003
2885,4.45199985
2886,4.5600001
2888,4.56
2889,4.332000000000001
2891,4.236000000000001
2892,4.5360003
2894,4.6080003
2895,4.632
2896,4.620000149999999
2898,4.5360003
2905,4.5360003
2907,4.6080003
2910,4.584
2916,4.584
2917,4.626000074999999
2919,4.66799985
2920,4.620000149999999
2921,4.68
3031,4.544000100000001
3032,4.5600001
3033,4.56
3034,4.571999999999999
3036,4.632
3037,4.626000074999999
3038,4.608
3042,4.632
3043,4.58400015
3045,4.54080006
3046,4.512000100000001
3047,4.584
3048,4.59600015
3049,4.56
3051,4.512
3052,4.512
3053,4.5680001
3054,4.54000015
3055,4.536
3063,4.5360003
3070,4.548000075
3071,4.60320018
3076,4.56
3077,4.600000199999999
3079,4.616
3082,4.56
3084,4.59600015
3086,4.58400015
3087,4.6080003
3102,4.6080003
3103,4.5360003
3106,4.51200015
3109,4.56
3110,4.5440002
3215,4.4320002
3216,4.46399995
3220,4.512
3221,4.5
3222,4.40880003
3223,4.340571471428572
3224,4.47599985
3225,4.6080003
3226,4.4079998
3227,4.386000000000001
3229,4.47599985
3230,4.415999925
3234,4.5600001500000005
3235,4.4799999
3237,4.5360003
3240,4.368
3241,4.409999925
3242,4.52640006
3243,4.496000200000001
3244,4.5420001125
3245,4.4016
3246,4.44
3249,4.583999925
3251,4.140923107692307
3253,4.477714285714286
3254,4.629000075
3255,4.4960001
3256,4.48
3257,4.452
3258,4.54800015
3259,4.3919997
3260,4.448
3261,4.67999985
3262,4.236000075
3263,4.6160001
3264,4.332
3266,4.290666633333333
3268,4.5
3269,4.530000075
3275,4.536
3276,4.505999925
3278,4.49759982
3279,4.152
3280,4.52400015
3281,4.546285757142857
3282,4.206
3284,4.32
3285,4.24800012
3287,4.512
3290,4.67399985
3301,4.493999925
3303,4.504
3304,4.560000075
3307,4.550400300000001
3431,4.416
3440,4.584
3442,4.47599985
3443,4.4639997
3444,4.6080003
3445,4.476
3446,4.446
3447,4.566000075
3448,4.416
3449,4.4639997
3450,4.4639997
3451,4.423999950000001
3452,4.59
3455,4.4399997
3456,4.4639997
3457,4.5840001500000005
3458,4.5210001125
3461,4.520000200000001
3462,4.4559999
3464,4.5120001
3465,4.58400015
3466,4.3919997
3467,4.42799985
3470,4.484999962500001
3561,4.092
3570,4.1255999800000005
3574,4.007999971428572
3575,4.007999933333333
3576,3.819692307692308
3579,3.977066622222223
3580,4.07399995
3581,4.305333338888889
3582,4.01279998
3583,3.8639999333333335
3584,3.8759999
3585,4.091999933333334
3586,4.079999900000001
3588,4.113230776923077
3590,3.932000033333333
3592,3.803999966666668
3593,4.141090854545455
3595,4.05000005
3597,3.999999966666666
3598,4.012000033333334
3601,4.3999999
3602,4.392
3603,4.2400001
3605,4.428000000000001
3607,4.3919997
3608,4.344000149999999
3740,3.9840002
3741,4.344000225
3743,4.26
3745,4.188000000000001
3748,4.32
3750,4.224
3752,4.43999985
3753,4.3759999
3755,4.1879999
3766,4.2144
3768,4.108799960000001
3771,4.079999900000001
3773,4.3590000375
3774,3.968000066666667
3777,4.158000025
3779,4.123199959999999
3780,4.104
3781,4.23600015
3782,4.224
3784,4.176
3785,4.136
3801,4.596
3809,4.679999899999999
3810,4.5279999
3811,4.655999700000001
3812,4.404
3813,4.492000100000001
3814,4.62599985
3816,4.655999700000001
3818,4.548000049999999
3819,4.632
3820,4.5360003
3823,4.6080003
3824,4.571999999999999
3825,4.6639998
3826,4.632
3827,4.6080003
3830,4.655999700000001
3832,4.56
3833,4.6080001500000005
3835,4.697999925
3836,4.608
3837,4.632
3838,4.397999925
3840,4.56
3841,4.56
3844,4.6080003
3845,4.632
3846,4.47
3848,4.632
3849,4.60800015
3850,4.56
3851,4.7039999
3852,4.704
3855,4.727999850000001
3858,4.608
3860,4.512000100000001
3861,4.59600015
3862,4.56
3864,4.685999925
3865,4.584
3867,4.648
3868,4.655999700000001
3869,4.596
3870,4.476
3872,4.738285671428572
3874,4.584
3875,4.528
3878,4.655999700000001
3882,4.667999999999999
3884,4.68479988
3885,4.56
3886,4.5360001
3887,4.735999800000001
3890,4.6080003
3894,4.63199994
3901,4.661999925
3902,4.6000001
3903,4.6080003
3904,4.548
3905,4.512
3906,4.608
3907,4.632
3908,4.6
3909,4.53600006
4002,4.669714071428572
4003,4.344
4005,4.524
4008,4.536
4009,4.65599988
4010,4.645714285714285
4011,4.548
4015,4.692
4017,4.32
4021,4.576000100000001
4022,4.691999850000001
4024,4.71599985
4027,4.707999850000001
4029,4.67999985
4032,4.54800005
4037,4.506000075
4038,4.5920001
4039,4.640000099999999
4040,4.6479998
4041,4.667999925
4042,4.620000149999999
4043,4.6080003
4046,4.5720001
4047,4.6240001
4048,4.56
4049,4.672
4050,4.344
4051,4.508571342857143
4055,4.638
4056,4.68
4061,4.649999925
4062,4.637999925
4064,4.56
4068,4.632
4069,4.584
4071,4.6319999
4072,4.6272
4073,4.661999775
4074,4.440000125
4076,4.68
4079,4.36799995
4083,4.68
4084,4.624000099999999
4086,4.536
4087,4.6919997
4088,4.56960012
4090,4.63679988
4091,4.667999999999999
4092,4.632
4093,4.6080003
4095,4.704
4096,4.56
4102,4.6080003
4105,4.548
4106,4.6080003
4107,4.632
4109,4.428000000000001
4110,4.296
4210,4.5920001
4216,4.200000030769231
4217,4.404705847058824
4219,4.5280001
4220,4.5771429
4221,4.5040001
4222,4.566
4224,4.424999962499999
4231,4.512
4236,4.59600015
4238,4.632
4239,4.48799994
4240,4.565999999999999
4250,4.512
4252,4.56
4253,4.53200005
4254,4.504
4255,4.488000075
4256,4.68
4258,4.617600179999999
4259,4.536
4260,4.644000075
4261,4.237333366666667
4263,4.548000075
4267,4.56
4268,4.584
4270,4.618666666666666
4274,4.6479998
4275,4.264000033333334
4276,4.4079999
4280,4.552
4281,4.58400015
4282,4.5600001
4284,4.488
4285,4.3470000375
4287,4.56480006
4289,4.58400015
4290,4.481999924999999
4292,4.532571557142857
4294,4.4799999
4330,4.520000075
4342,4.5
4345,4.50240006
4348,4.521000075
4349,4.5440002
4350,4.576
4351,4.584
4352,4.55400015
4353,4.5
4354,4.5880001
4355,4.571999999999999
4357,4.518000075
4358,4.530000075
4360,4.52
4363,4.52400015
4364,4.542000225000001
4401,4.415999866666668
4406,4.324363690909092
4408,4.340307715384615
4410,4.350000225
4411,4.401
4412,4.368
4413,4.32
4414,4.32192012
4416,4.4639997
4417,4.349333466666667
4418,4.326857207142857
4419,4.40399985
4421,4.2
4422,4.32
4424,4.2349092
4426,4.328571514285714
4427,4.3600001
4428,4.3584000000000005
4429,4.424
4434,4.476
4435,4.361999925000001
4438,4.46399994
4441,4.212400013333331
4442,4.230000075
4443,4.318153938461538
4444,4.44
4448,4.330909090909091
4449,4.35600015
4450,4.379999850000001
4451,4.26720012
4453,4.353600179999999
4454,4.275000112499999
4455,4.33200005
4456,4.3919997
4457,4.28640012
4459,4.29360003
4460,4.306909145454545
4461,4.344000042857142
4462,4.269000057692304
4463,4.3606154076923085
4464,4.2996924
4468,4.37169233076923
4471,4.2137142857142855
4472,4.494
4473,4.4239998
4474,4.3919997
4475,4.328
4476,4.56000006
4478,4.16019512195122
4479,4.344000299999999
4481,4.3600001
4485,4.29120012
4487,4.29840006
4488,4.3919997
4490,4.296000096000001
4491,4.188000000000001
4492,4.296
4493,4.3599999
4495,4.302000075
4496,4.4639997
4497,4.263158005263158
4530,4.501714371428572
4535,4.5440002
4537,4.584
4539,4.584
4543,4.584
4547,4.432
4548,4.5
4551,4.584
4553,4.54800015
4555,4.5
4556,4.5680002
4558,4.584
4562,4.404
4563,4.3919997
4564,4.512
4572,4.508571471428572
4573,4.584
4574,4.512
4578,4.566000075
4579,4.5920002
4605,4.391999946428571
4606,4.125818181818182
4607,4.4064
4609,4.428000075000001
4611,4.047999866666667
4613,4.416
4614,4.432
4616,4.242000075
4617,4.5360000000000005
4619,4.25280006
4622,4.396363568181818
4623,4.344000033333334
4624,4.2
4625,4.176
4626,3.952
4627,4.272
4628,4.33200015
4630,4.31280012
4631,4.296
4634,4.402666666666667
4635,4.28400015
4637,4.289142942857143
4640,4.3839999
4643,4.16640008
4645,4.512000099999999
4648,4.25400015
4649,4.104
4652,4.180363718181819
4653,4.2
4654,4.201846223076922
4655,4.0770000875
4657,4.326000075
4658,4.3440001
4660,4.440000075
4662,4.41600015
4664,4.43600005
4666,4.298666766666666
4667,4.2720001
4668,4.26720008
4671,4.296
4674,4.3920001
4675,4.248
4676,4.5360003
4677,4.296
4679,4.38
4680,4.2640000166666665
4681,4.296000149999999
4683,4.317333466666666
4684,4.49279988
4685,4.37280006
4686,4.346000074999999
4691,4.32
4693,4.4016
4694,4.2980001
4730,4.174666672222221
4732,4.209600046666665
4733,4.29600005
4734,4.136
4735,4.108799960000001
4736,4.083428528571429
4739,4.181333333333334
4740,4.08
4742,4.000000066666667
4743,4.083199946666667
4745,4.104
4746,4.0439999
4747,4.196400015000001
4750,4.071999933333333
4756,4.104
4757,4.144000000000001
4758,4.079999900000001
4760,4.137999983333335
4761,4.176
4762,4.1712
4763,4.192
4764,4.2320001
4765,4.227111144444442
4766,4.158
4768,4.150736842105263
4769,4.044
4772,3.989999925
4773,4.048000066666667
4774,4.088571385714285
4776,4.2666667
4777,4.28160006
4779,4.125818163636364
4780,4.195200000000002
4781,4.11359996
4783,4.17
4785,4.097454545454546
4786,4.1177142571428575
4787,4.104
4841,4.5520001
4847,4.520000200000001
4848,4.38719994
4849,4.532571557142857
4851,4.512
4853,4.5680001
4855,4.32
4856,4.48
4858,4.447999800000001
4859,4.4040003
4860,4.26
4861,4.54800015
4862,4.532571557142857
4863,4.468
4864,4.4959999
4901,4.446856971428571
4910,4.488
4911,4.43039988
4912,4.388571257142857
4915,4.4609998875
4917,4.507200060000001
4920,4.331555566666666
4921,4.4976
4922,4.416
4923,4.379999850000001
4924,4.43039982
4925,4.36800015
4928,4.368
4929,4.3919997
4930,4.38799985
4932,4.4719999
4936,4.04260465116279
4937,4.481999849999999
4938,4.456000033333333
4939,4.379999949999999
4941,4.560000085714285
4942,4.38799985
4943,4.355999925000001
4945,4.065599999999998
4947,4.325333366666666
4949,4.536000075
4950,4.41119988
4951,4.45199985
4952,4.528
4953,4.380000000000001
4955,4.4719999
4956,4.468799819999999
4957,4.4208
4958,4.40999985
4961,4.291034444827587
4963,4.51200015
4964,4.050666622222222
4965,4.41999995
4966,4.349714357142857
4967,4.431999950000001
4969,4.423999900000001
4970,4.168320008
4971,4.39679994
4973,4.548000075
4974,4.332
4976,4.40399985
4978,4.428000150000001
4979,4.373999925000001
4981,4.33919988
4982,4.14599995
4983,4.34400003
4984,4.48
4985,4.23022227777778
4986,4.488
4987,4.455999899999999
4988,4.4639997
4989,4.488
5001,4.22400005
5032,4.224
5033,4.176
5034,4.284000000000001
5035,4.2400001
5036,4.2
5037,4.272000299999999
5038,4.208
5039,4.208
5040,4.140000000000001
5042,4.06200005
5043,4.128
5045,4.172
5046,4.132000000000001
5048,4.232
5051,4.107428542857143
5055,4.20960006
5056,4.26000015
5058,4.152
5060,4.147200000000001
5061,4.104
5062,4.362000075
5065,4.23
5067,4.296
5068,4.188000016666667
5069,4.08
5070,4.236000000000001
5071,4.32
5072,4.224
5075,4.176
5076,4.164
5077,4.1568
5079,4.2560001
5081,4.08
5086,4.152
5089,4.2560002
5091,4.30080006
5101,4.32960006
5142,4.28400015
5143,4.373333333333334
5146,4.403999925000001
5148,4.296000149999999
5149,4.33599995
5151,4.2480002
5152,4.2960001
5153,4.272000299999999
5155,4.344000299999999
5156,4.24800006
5158,4.296
5161,4.30800015
5201,4.07039998
5250,4.047999999999999
5251,4.12
5255,4.032
5257,4.0679999
5261,4.032
5262,4.09919996
5301,4.479529394117647
5340,4.272
5341,4.536
5342,4.45199985
5343,4.3759999
5345,4.456
5346,4.422857100000001
5350,4.3120002
5352,4.158
5353,4.4239998
5354,4.448
5355,4.4639997
5356,4.454400000000001
5358,4.512
5359,4.416
5360,4.341000037500001
5361,4.379999850000001
5362,4.4639997
5363,4.4079998
5404,4.128
5440,3.9720001
5441,3.8479999333333335
5442,3.8519999666666656
5443,4.084363563636364
5444,3.96
5445,4.063999933333334
5446,4.104
5447,3.72
5448,3.9920000666666673
5450,3.825230723076923
5452,4.027999966666666
5454,3.9888
5455,3.968
5456,4.0559998
5457,3.92
5458,4.040000066666667
5459,3.96
5461,4.04399995
5462,4.03200005
5463,4.0080001
5464,3.9119999666666665
5465,3.9840001
5468,4.0619999
5471,3.7960000666666662
5472,4.0559998
5473,4.0439999
5474,3.928
5476,3.78599985
5477,4.02000005
5478,4.00800004
5482,4.08
5483,4.032
5487,4.047999999999999
5488,4.028
5489,3.959999975
5491,4.077818163636363
5492,3.876
5494,4.0379999
5495,4.0559998
5602,4.084
5640,4.032
5641,4.0320000333333335
5647,4.047999933333333
5648,4.0559998
5649,4.188000000000001
5650,4.02
5651,3.936
5652,3.888
5653,3.9600001
5654,4.128
5655,3.8999999
5656,3.882
5658,4.0559998
5660,4.036799960000001
5661,3.940000033333333
5663,4.134
5667,4.072000066666667
5669,4.200000042857143
5672,3.89399995
5673,4.118999975
5674,4.08
5675,4.182
5676,4.02720002
5677,3.912
5679,4.09919996
5680,3.95519996
5681,4.032
5682,3.9840002
5701,4.107428585714287
5732,4.164
5733,4.11839998
5734,4.089599959999999
5735,4.168
5736,4.152
5737,4.196
5738,4.115999966666666
5739,4.194000075
5742,4.2
5743,4.1256
5744,4.208000000000001
5747,4.2
5748,4.188000000000001
5751,4.2
5753,4.111999933333333
5757,4.152
5758,4.264
5759,4.0559998
5760,4.1472
5761,4.112
5762,4.272000299999999
5763,4.079999900000001
5764,4.1568
5766,4.168
5767,4.1920001
5769,4.116
5770,4.104
5772,4.2200001
5773,4.1808000000000005
5774,4.128
5775,4.104
5776,4.152
5777,4.182
5778,4.116
5819,4.02479998
5820,3.94560004
5821,4.104
5822,3.94080004
5824,4.079999866666667
5826,3.936
5827,3.92
5828,4.0388571142857135
5829,3.92
5830,3.96
5832,4.02
5833,3.912
5836,3.952000066666667
5837,3.944
5839,3.9840002
5843,3.96
5845,3.924
5846,3.907200000000001
5847,3.93120004
5851,3.942
5853,3.9040000666666663
5855,3.8839999666666665
5857,3.887999933333333
5858,4.0457142571428575
5859,3.92
5860,3.916000033333333
5862,4.12
5866,3.990000100000001
5867,3.97200005
5871,3.952000066666667
5872,3.887999933333333
5873,4.104
5874,3.888
5875,4.0080001
5901,3.966
5903,3.8639998
5905,3.987999988888888
5906,4.0739999000000005
5907,3.91919998
6001,4.5
6002,4.5
6010,4.548000075
6016,4.488
6019,4.51800015
6021,4.512
6024,4.32
6026,4.488
6027,4.584
6029,4.5264
6031,4.391999925
6032,4.51200015
6033,4.468799939999999
6035,4.488
6037,4.496
6039,4.384
6040,4.45199985
6043,4.54800015
6051,4.488
6052,4.512
6057,4.5280002
6058,4.463999925
6062,4.488
6063,4.518
6065,4.48799985
6066,4.487999899999999
6068,4.368
6069,4.416
6070,4.4639997
6071,4.472
6074,4.47599985
6076,4.5720001
6078,4.487999899999999
6082,4.512
6084,4.5760001
6089,4.4639997
6090,4.56
6091,4.488
6092,4.51200015
6095,4.488
6096,4.488
6098,4.524000099999999
6108,4.45199985
6109,4.488
6110,4.5360003
6117,4.512
6231,4.608
6232,4.571999999999999
6234,4.548
6235,4.56
6237,4.632
6238,4.5920002
6239,4.5360003
6241,4.530000075
6242,4.58400015
6247,4.584
6248,4.584
6249,4.600000049999999
6250,4.56
6254,4.54800015
6255,4.5280002
6256,4.5360003
6259,4.57920012
6260,4.52400015
6268,4.584000075
6277,4.5360003
6278,4.565999999999999
6279,4.56
6281,4.58400018
6320,4.6080003
6330,4.584
6331,4.6080003
6332,4.512
6333,4.6080003
6334,4.552000200000001
6335,4.584
6339,4.6080003
6340,4.6080003
6351,4.579200119999999
6354,4.5440002
6355,4.56
6357,4.344000149999999
6359,4.5920001
6360,4.5600001
6365,4.56
6370,4.584
6371,4.53840018
6374,4.5600001500000005
6377,4.56
6378,4.6000002
6379,4.464
6382,4.6080003
6384,4.56
6385,4.6000002
6403,4.56
6405,4.368000066666666
6410,4.51200015
6412,4.59600015
6413,4.571999999999999
6415,4.5720001125000005
6416,4.464
6418,4.584
6419,4.584
6420,4.590000075
6422,4.5360003
6423,4.584
6424,4.576
6426,4.584
6437,4.567999999999999
6441,4.58400012
6442,4.632
6443,4.567999999999999
6450,4.512
6455,4.52400015
6457,4.52400015
6460,4.283999850000001
6461,4.536
6468,4.6000002
6469,4.56
6470,4.552000200000001
6471,4.584
6473,4.542000225000001
6475,4.464
6477,4.584
6478,4.567999999999999
6479,4.536
6480,4.512
6482,4.5360001
6483,4.632
6484,4.6000002
6488,4.512000075
6489,4.48799985
6492,4.506000075
6498,4.6080003
6512,4.428000150000001
6515,4.584
6517,4.56
6518,4.5600001
6519,4.488
6524,4.571999999999999
6525,4.584
6606,4.655999700000001
6608,4.296
6610,4.56
6611,4.624
6612,4.5840001
6614,4.56
6705,4.5360003
6706,4.512
6708,4.512
6712,4.56
6716,4.552
6751,4.5360003
6752,4.5360003
6754,4.571999999999999
6756,4.520000200000001
6757,4.4559998
6759,4.5428573142857145
6763,4.54800015
6770,4.56
6776,4.4719998
6777,4.476000150000001
6783,4.5520001
6784,4.512000100000001
6786,4.512
6790,4.47599985
6791,4.5360003
6793,4.56
6794,4.512
6795,4.5680001
6796,4.464
6798,4.5360001
6804,4.488
6810,4.51200015
6811,4.488
6812,4.488
6820,4.344
6824,4.5
6825,4.584
6830,4.51199985
6831,4.5440002
6840,4.536
6854,4.224
6877,4.5440002
6878,4.5
6880,4.528
6883,4.542000225000001
6897,4.5360003
6901,4.56
6902,4.6080003
6903,4.56
6905,4.6080003
7002,4.44
7005,4.512
7006,4.48799985
7008,4.32
7009,4.56
7020,4.56
7032,4.5360003
7035,4.44
7039,4.536
7040,4.56
7054,4.47599985
7057,4.5360003
7059,4.47599985
7066,4.584
7068,4.488
7070,4.512
7076,4.548
7080,4.5360003
7081,4.5360003
7082,4.4639997
7083,4.488
7095,4.5360003
7102,4.584
7105,4.488
7114,4.5360003
7205,4.6080003
7206,4.5360003
7403,4.488
7405,4.52400015
7416,4.35600015
7417,4.4639997
7418,4.416
7420,4.44
7422,4.416
7424,4.488
7430,4.4639997
7435,4.512
7436,4.44
7438,4.51200015
7450,4.512
7456,4.4479999
7458,4.4639997
7460,4.496
7461,4.371428571428572
7462,4.344000299999999
7465,4.5
7470,4.504
7480,4.48799985
7481,4.4639997
7508,4.584
7631,4.5360003
7652,4.488
7660,4.512
7663,4.512
7666,4.488
7675,4.44
7677,4.44
7701,4.5600001500000005
7712,4.584
7719,4.6080003
7722,4.542
7724,4.54800015
7726,4.57200015
7727,4.655999700000001
7728,4.523999849999999
7730,4.56
7731,4.5520001
7733,4.56
7734,4.3919997
7735,4.248
7738,4.52400015
7746,4.6080003
7747,4.56
7748,4.5360003
7750,4.488
7753,4.584
7755,4.56
7764,4.56
7801,4.4639997
7821,4.391999925
7823,4.3440001
7825,4.35840012
7826,4.344000075
7827,4.2960001
7828,4.5
7830,4.488000100000001
7832,4.383999800000001
7836,4.512
7838,4.392
7840,4.43999985
7843,4.4639997
7847,4.512
7848,4.35600015
7851,4.272000299999999
7853,4.47599985
7857,4.512
7860,4.3680001
7863,4.392
7865,4.41599985
7866,4.512
7869,4.5
7871,4.344
7874,4.4639997
7876,4.488
7881,4.3600001
7882,4.47599985
7885,4.496
7920,4.44
7921,4.4079999
7924,4.4639997
7927,4.488
7928,4.4639997
7930,4.482
7932,4.4639997
7936,4.4639997
7950,4.536
7960,4.5
7974,4.488
7976,4.4639997
7981,4.488
8004,4.56
8005,4.58400015
8008,4.434
8009,4.5600001500000005
8012,4.548
8014,4.32
8015,4.488
8016,4.488
8019,4.505142857142857
8021,4.512
8022,4.488
8023,4.3919997
8028,4.536
8034,4.5360003
8036,4.512
8037,4.5154286571428575
8038,4.379999850000001
8039,4.6080003
8041,4.488
8043,4.52400015
8046,4.4639997
8048,4.488
8050,4.524000099999999
8051,4.56
8053,4.476
8054,4.496
8055,4.47359988
8056,4.5360003
8057,4.488
8059,4.488
8060,4.487999899999999
8062,4.56
8068,4.4639997
8069,4.512
8070,4.44
